Station ID,Station name,Variable,Position/depth (AGL) (m),Sensor Mfg,Sensor Model
HWTM8,Harlowton E,SOILT4 [K],0.1,Acclima,TDR-310N
HAEM8,Havre,SOILT4 [K],0.1,Acclima,TDR-310N
HIWM8,Highwood Bench,SOILT4 [K],0.1,Acclima,TDR-310N
HIWM8,Highwood Bench,SOILT4 [K],0.1,Acclima,TDR-310N
HOGM8,Hogeland SW,SOILT4 [K],0.1,Acclima,TDR-310N
HOGM8,Hogeland SW,SOILT4 [K],0.1,Acclima,TDR-310N
HNTM8,Huntley E,SOILT4 [K],0.1,Acclima,TDR-310N
IGMM8,Ingomar,SOILT4 [K],0.1,Acclima,TDR-310N
INNM8,Inverness N,SOILT4 [K],0.1,Acclima,TDR-310N
INNM8,Inverness N,SOILT4 [K],0.1,Acclima,TDR-310N
ISSM8,Inverness S,SOILT4 [K],0.1,Acclima,TDR-310N
ISSM8,Inverness S,SOILT4 [K],0.1,Acclima,TDR-310N
JGPM8,Judith Gap,SOILT4 [K],0.1,Acclima,TDR-310N
JGPM8,Judith Gap,SOILT4 [K],0.1,Acclima,TDR-310N
LTBM8,Lake Thibadeau W,SOILT4 [K],0.1,Acclima,TDR-310N
LTBM8,Lake Thibadeau W,SOILT4 [K],0.1,Acclima,TDR-310N
LMDM8,Lame Deer E,SOILT4 [K],0.1,Acclima,TDR-310N
LVAM8,Lavina N,SOILT4 [K],0.1,Acclima,TDR-310N
LGGM8,Lodge Grass W,SOILT4 [K],0.1,Acclima,TDR-310N
LOAM8,Loma N,SOILT4 [K],0.1,Acclima,TDR-310N
LOAM8,Loma N,SOILT4 [K],0.1,Acclima,TDR-310N
LORM8,Loring SW,SOILT4 [K],0.1,Acclima,TDR-310N
MTRM8,Matador Ranch,SOILT4 [K],0.1,Acclima,TDR-310N
MLVM8,Melville,SOILT4 [K],0.1,Acclima,TDR-310N
RADM8,Midway Colony,SOILT4 [K],0.1,Acclima,TDR-310N
MCYM8,Miles City,SOILT4 [K],0.1,Acclima,TDR-310N
MINM8,Mission Lake S,SOILT4 [K],0.1,Acclima,TDR-310N
MINM8,Mission Lake S,SOILT4 [K],0.1,Acclima,TDR-310N
MCIM8,Moccasin,SOILT4 [K],0.1,Acclima,TDR-315N
MOTM8,Molt S,SOILT4 [K],0.1,Acclima,TDR-310N
MOYM8,Mosby S,SOILT4 [K],0.1,Acclima,TDR-310N
MOBM8,Mosby NW,SOILT4 [K],0.1,Acclima,TDR-310N
MTLM8,Mt Lebanon SE,SOILT4 [K],0.1,Acclima,TDR-310N
MTLM8,Mt Lebanon SE,SOILT4 [K],0.1,Acclima,TDR-310N
MSSM8,Musselshell,SOILT4 [K],0.1,Acclima,TDR-310N
OILM8,Oilmont,SOILT4 [K],0.1,Acclima,TDR-310N
OTRM8,Otter E,SOILT4 [K],0.1,Acclima,TDR-310N
RAPM8,Rapelje SW,SOILT4 [K],0.1,Acclima,TDR-310N
RMYM8,Rothiemay W,SOILT4 [K],0.1,Acclima,TDR-310N
ROUM8,Roundup,SOILT4 [K],0.1,Acclima,TDR-315N
RYOM8,Roy E,SOILT4 [K],0.1,Acclima,TDR-310N
RGTM8,Ryegate S,SOILT4 [K],0.1,Acclima,TDR-310N
SASM8,Saco S,SOILT4 [K],0.1,Acclima,TDR-310N
SDSM8,Sand Springs NW,SOILT4 [K],0.1,Acclima,TDR-310N
SVYM8,Savoy SW,SOILT4 [K],0.1,Acclima,TDR-310N
SVYM8,Savoy SW,SOILT4 [K],0.1,Acclima,TDR-310N
SCYM8,Scobey NW,SOILT4 [K],0.1,Acclima,TDR-310N
SIYM8,Sidney,SOILT4 [K],0.1,Acclima,TDR-310N
SBSM8,Sunburst NW,SOILT4 [K],0.1,Acclima,TDR-310N
SBSM8,Sunburst NW,SOILT4 [K],0.1,Acclima,TDR-310N
SURM8,Sun River SE,SOILT4 [K],0.1,Acclima,TDR-310N
TTNM8,Toston,SOILT4 [K],0.1,Acclima,TDR-310N
TTNM8,Toston,SOILT4 [K],0.1,Acclima,TDR-310N
TRNM8,Turner N,SOILT4 [K],0.1,Acclima,TDR-310N
TWOM8,Twodot E,SOILT4 [K],0.1,Acclima,TDR-310N
VLTM8,Dovetail,SOILT4 [K],0.1,Acclima,TDR-310N
WRHM8,War Horse NW,SOILT4 [K],0.1,Acclima,TDR-310N
WNFM8,Woodhawk,SOILT4 [K],0.1,Acclima,TDR-310N
