Location,Time,Agrimet,Hydromet
Absarokee,2021-11-22T02:45:00Z,0,0
Absarokee,2021-11-22T03:00:00Z,0,0
Absarokee,2021-11-22T03:15:00Z,0,0
Absarokee,2021-11-22T03:30:00Z,0,0
Absarokee,2021-11-22T03:45:00Z,0,0
Absarokee,2021-11-22T04:00:00Z,0,0
Absarokee,2021-11-22T04:15:00Z,0,0
Absarokee,2021-11-22T04:30:00Z,0,0
Absarokee,2021-11-22T04:45:00Z,0,0
Absarokee,2021-11-22T05:00:00Z,0,0
Absarokee,2021-11-22T05:15:00Z,0,0
Absarokee,2021-11-22T05:30:00Z,0,0
Absarokee,2021-11-22T05:45:00Z,0,0
Absarokee,2021-11-22T06:00:00Z,0,0
Absarokee,2021-11-22T06:15:00Z,0,0
Absarokee,2021-11-22T06:30:00Z,0,0
Absarokee,2021-11-22T06:45:00Z,0,0
Absarokee,2021-11-22T07:00:00Z,0,0
Absarokee,2021-11-22T07:15:00Z,0,0
Absarokee,2021-11-22T07:30:00Z,0,0
Absarokee,2021-11-22T07:45:00Z,0,0
Absarokee,2021-11-22T08:00:00Z,0,0
Absarokee,2021-11-22T08:15:00Z,0,0
Absarokee,2021-11-22T08:30:00Z,0,0
Absarokee,2021-11-22T08:45:00Z,0,0
Absarokee,2021-11-22T09:00:00Z,0,0
Absarokee,2021-11-22T09:15:00Z,0,0
Absarokee,2021-11-22T09:30:00Z,0,0
Absarokee,2021-11-22T09:45:00Z,0,0
Absarokee,2021-11-22T10:00:00Z,0,0
Absarokee,2021-11-22T10:15:00Z,0,0
Absarokee,2021-11-22T10:30:00Z,0,0
Absarokee,2021-11-22T10:45:00Z,0,0
Absarokee,2021-11-22T11:00:00Z,0,0
Absarokee,2021-11-22T11:15:00Z,0,0
Absarokee,2021-11-22T11:30:00Z,0,0
Absarokee,2021-11-22T11:45:00Z,0,0
Absarokee,2021-11-22T12:00:00Z,0,0
Absarokee,2021-11-22T12:15:00Z,0,0
Absarokee,2021-11-22T12:30:00Z,0,0
Absarokee,2021-11-22T12:45:00Z,0,0
Absarokee,2021-11-22T13:00:00Z,0,0
Absarokee,2021-11-22T13:15:00Z,0,0
Absarokee,2021-11-22T13:30:00Z,0,0
Absarokee,2021-11-22T13:45:00Z,0,0
Absarokee,2021-11-22T14:00:00Z,0,0
Absarokee,2021-11-22T14:15:00Z,0,0
Absarokee,2021-11-22T14:30:00Z,0,0
Absarokee,2021-11-22T14:45:00Z,0,0
Absarokee,2021-11-22T15:00:00Z,0,0
Absarokee,2021-11-22T15:15:00Z,0,0
Absarokee,2021-11-22T15:30:00Z,0,0
Absarokee,2021-11-22T15:45:00Z,0,0
Absarokee,2021-11-22T16:00:00Z,0,0
Absarokee,2021-11-22T16:15:00Z,0,0
Absarokee,2021-11-22T16:30:00Z,0,0
Absarokee,2021-11-22T16:45:00Z,0,0
Absarokee,2021-11-22T17:00:00Z,0,0
Absarokee,2021-11-22T17:15:00Z,0,0
Absarokee,2021-11-22T17:30:00Z,0,0
Absarokee,2021-11-22T17:45:00Z,0,0
Absarokee,2021-11-22T18:00:00Z,0,0
Absarokee,2021-11-22T18:15:00Z,0,0
Absarokee,2021-11-22T18:30:00Z,0,0
